"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
14,65,6,7,17,Recreation_Run
14,81,4,7,17,Recreation_Run
14,92,1,7,17,Recreation_Run
15,53,6,7,17,Recreation_Run
16,41,5,7,17,Recreation_Run
16,104,6,7,17,Recreation_Run
17,6,1,7,17,Recreation_Run
17,12,6,7,17,Recreation_Run
17,68,6,7,17,Recreation_Run
18,10,1,7,17,Recreation_Run
18,51,6,7,17,Recreation_Run
18,67,1,7,17,Recreation_Run
19,54,1,7,17,Recreation_Run
19,89,5,7,17,Recreation_Run
20,17,1,7,17,Recreation_Run
20,39,4,7,17,Recreation_Run
20,40,1,7,17,Recreation_Run
20,91,1,7,17,Recreation_Run
21,46,1,7,17,Recreation_Run
21,58,1,7,17,Recreation_Run
21,59,6,7,17,Recreation_Run
21,76,2,7,17,Recreation_Run
21,100,1,7,17,Recreation_Run
22,3,2,7,17,Recreation_Run
22,36,4,7,17,Recreation_Run
22,65,1,7,17,Recreation_Run
22,87,1,7,17,Recreation_Run
22,96,2,7,17,Recreation_Run
23,17,1,7,17,Recreation_Run
23,49,1,7,17,Recreation_Run
23,61,1,7,17,Recreation_Run
